Author: ELB72   
Nucleus: 28Si   
Reaction:  (d.p)    
Type: stripping   
BA:  7.418    
BA1:  7.279    
E n l JP C2S
0 2 0  0.5   0.37 
 1273.31  1 2  1.5   0.75 
 2028.72  1 2  2.5   0.29 
 3066.9  1 2  2.5   0.1 
 3624.15  1 3  -3.5   0.88 
 4840.2  2 0  0.5   0.02 
 4934.6  2 1  -1.5   0.55 
5652 1 4  4.5   0.13 
5947 1 2  1.5   0.07 
 6194.14  1 3  -3.5   0.3 
 6380.82  2 1  -0.5   0.26 
6423 1 4  3.5   0.07 
 6496.23  1 3  -2.5   0.12 
6522 1 4  3.5   0.16 
 6712.9  2 1  -1.5   0.02 
 6781.1  1 4  4.5   0.29 
6905 2 1  -0.5   0.024 
6918 2 1  -1.5   0.021 
7072 1 2  1.5   0.023 
7139 1 2  2.5   0.009 
 7180.1  1 2  1.5   0.11 
 7622.1  1 2  1.5   0.042 
7692 1 2  1.5   0.037 
7995 2 1  -1.5   0.016 
