Author: Me71_use_21MeV   
Nucleus: 28Si   
Reaction:  (d.p)    
Type: stripping   
BA:  7.418    
BA1:  7.279    
E n l JP C2S
0 2 0  0.5   0.525 
 1273.31  1 2  1.5   0.7375 
 2028.72  1 2  2.5   0.12166666666666666 
 2425.97  1 2  1.5   0.0125 
 3066.9  1 2  2.5   0.05833333333333333 
 3624.15  1 3  -3.5   0.40625 
 4934.6  2 1  -1.5   0.55 
5947 1 2  1.5   0.055 
 6192.8  1 3  -3.5   0.15 
 6380.82  2 1  -0.5   0.525 
*6770 1 4  4.5   0.06 
 7180.1  1 2  1.5   0.08 
8270 1 3  -3.5   0.11637499999999999 
 8557.8  1 2  1.5   0.05 


