Author: Pe83   
Nucleus: 28Si   
Reaction:  (d.p)    
Type: stripping   
BA:  7.418    
BA1:  7.279    
E n l JP C2S
0 2 0  0.5   0.37 
 1273.31  1 2  1.5   0.53 
 2028.72  1 2  2.5   0.089 
 3066.9  1 2  2.5   0.032 
 3624.15  1 3  -3.5   0.24 
 4840.2  2 0  0.5   0.038 
 4934.6  2 1  -1.5   0.41 
 5284.7  2 1  -1.5   0.024 
5947 1 2  1.5   0.34 
 6194.14  1 3  -3.5   0.065 
 6380.82  2 1  -0.5   0.36 
 6496.23  1 2  1.5   0.37 
 6695.93  2 0  0.5   0.089 
 7057.81  2 0  0.5   0.062 
7072 1 2  1.5   0.056 
 7622.1  1 3  -3.5   0.023 
7692 2 0  0.5   0.14 
7995 2 1  -0.5   0.013 
8270 1 3  -3.5   0.095 


