Author: Pi99   
Nucleus: 30Si   
Reaction:  (d.p)    
Type: stripping   
BA  10.609205    
BA1  6.587401    
E n l JP C2S
0 1 2  1.5   0.703 
 752.23  2 0  0.5   0.253 
 1694.91  1 2  2.5   0.016666666666666666 
 2316.93  1 2  1.5   0.04 
 2788.03  1 2  2.5   0.043000000000000003 
 3133.5  1 3  -3.5   0.595 
 3532.92  2 1  -1.5   0.403 
 4261.6  1 2  1.5   0.044 
 4382.37  2 1  -1.5   0.138 
 4719.1  2 0  0.5   0.11 
 5281.37  2 1  -0.5   0.444 
 5441.9  1 3  -3.5   0.071 
 5873.15  2 1  -1.5   0.029 
 5957.92  1 2  1.5   0.0085 
6583 1 3  -3.5   0.015 
 6814.9  1 2  2.5   0.017333333333333333 
 6915.2  1 2  2.5   0.025333333333333333 
7438 1 3  -2.5   0.101 
 7904.6  1 3  -3.5   0.038 
 8017.5  1 3  -3.5   0.02 
 8034.9  1 3  -3.5   0.018 
 8115.9  1 3  -3.5   0.048 
8140 1 3  -3.5   0.015 


