Author: Mo70   
Nucleus: 30Si   
Reaction:  (3He.d)    
Type: stripping   
BA:  8.520654    
BA1:  8.481167    
E n l JP C2S
0 2 0  0.5   0.44 
 1266.13  1 2  1.5   0.8 
 2233.6  1 2  2.5   0.08 
 3134.3  2 0  0.5   0.029 
3295 1 2  2.5   0.0013 
 3506.1  1 2  1.5   0.005 
 4190.9  1 2  2.5   0.022 
 4431.2  1 3  -3.5   0.287 
 4592.5  1 2  1.5   0.034 
 5015.2  2 1  -1.5   0.207 
5256 2 0  0.5   0.067 
 6380.8  1 2  1.5   0.133 
 6501.8  1 1  -0.5   0.07 
 6610.4  2 1  -1.5   0.013 
 6909.6  2 1  -1.5   0.073 
 7141.1  2 0  0.5   0.033 


