Author: Uz76    
Nucleus: 30Si    
Reaction:  (d.n)     
Type: stripping    
BA:  8.520654     
BA1:  8.481167     
E n l JP C2S 
0 2 0  0.5   0.525   1.05 
 1266.13  1 2  1.5   0.56   2.24 
 2233.6  1 2  2.5   0.03666666666666667   0.22 
 3134.3  2 0  0.5   0.01   0.02 
 4431.2  1 3  -3.5   0.26125   2.09 
 5014.9  1 2  1.5   0.1525   0.61 
5256 2 0  0.5   0.02   0.04 
 6380.8  2 2  1.5   0.1225   0.49 
 6496.1  1 1  -1.5   0.03   0.12 
 6610.4  2 1  -1.5   0.0075   0.03 
 6909.6  2 1  -1.5   0.02   0.08 
 7141.1  2 0  0.5   0.035   0.07 
7211 2 1  -1.5   0.0075   0.03 
7896 2 1  -0.5   0.11   0.22 
8048 2 1  -1.5   0.01   0.04 
8248 2 1;3  -1.5   0.01   0.04 
 8555.4  2 1  -1.5   0.015   0.06 


