Author: Mermaz1971   
Nucleus: 32S   
Reaction:  (d.p)    
Type: stripping   
BA  15.044328    
BA1  8.641662    
E n l JP C2S
0 1 2  1.5   0.93 
 840.982  2 0  0.5   0.32 
 1967.19  1 2  2.5   0.002 
 2313.399  1 2  1.5   0.066 
 2867.626  1 2  2.5   0.05 
 2934.74  1 3  -3.5   0.57 
 3220.692  2 1  -1.5   0.48 
 4210.848  2 1  -1.5   0.075 
 4917.87  2 1  -0.5   0.044 
 4941.8  1 3  -2.5;-3.5   0.07;0.036 
 5710.875  2 1  -0.5   0.53 
 5888.45  2 1  -1.5   0.11 
 6424.97  2 1  -0.5;-1.5   0.18;0.08 
6688 1 3  -2.5;-3.5   0.18;0.09 
 7187.732  2 1  -1.5   0.046 
7452 2 1  -0.5;-1.5   0.26;0.12 
7615 1 3  -2.5;-3.5   0.053;0.027 
