Author: Ve99   
Nucleus: 32S   
Reaction:  (3He.4He)    
Type: pickup   
BA  15.044328    
BA1  13.05459    
E n l JP C2S
0 2 0  0.5   0.835 
 1248.87  1 2  1.5   0.9 
 2234.29  1 2  2.5   2.05 
 3077.26  2 0  0.5   0.034 
3284.67 1 2  2.5   0.635 
 3435.7  1 2  1.5   0.07 
4080 1 2  2.5   0.905 
 4450.65  1 3  -3.5   0.215 
 4583.98  1 4  3.5   0.095 
 4720.2  1 2  2.5   0.375 
4971 2 1  -1.5   0.0385 
 5157.5  2 0  0.5   0.095 
5775 1 2  2.5   0.165 
5896 1 2  2.5   0.12 
 5977.9  1 4  4.5   0.195 
 6255.3  2 0  0.5   0.165 
6975 2 0  0.5   0.015 
7037 1 2  2.5   0.76 
7156 1 2  2.5   0.105 
