Author: Ma74_Norm   
Nucleus: 32S   
Reaction:  (d.3He)    
Type: pickup   
BA  8.86395100000004    
BA1  7.29655699999995    
E n l JP C2S
0 2 0  0.5   1.24 
 1266.13  1 2  1.5   1.3066666666666666 
 2233.6  1 2  2.5   2.4533333333333336 
 3134.3  2 0  0.5   0.14666666666666667 
3295 1 2  2.5   0.8933333333333334 
 4190.9  1 2  2.5   0.8666666666666667 
 4431.2  1 3  -3.5   0.05333333333333334 
 4783.4  1 2  2.5   0.26666666666666666 
 5256.8  2 0  0.5   0.13333333333333333 
5910 1 2  2.5   0.2 
 5987.9  1 2  1.5   0.18666666666666668 
 6336.6  2 0  0.5   0.14666666666666667 
7158 1 2  2.5   1.0533333333333335 
7896 2 1  -0.5   1.0933333333333333 
