Author: Kh88-2-norm   
Nucleus: 34S   
Reaction:  (d.t)    
Type: pickup   
E n l JP C2S
0 1 2  1.5   2.1385 
 840.982  2 0  0.5   0.8827 
 1967.19  1 2  2.5   0.0637 
 2313.399  1 2  1.5   0.18200000000000002 
 2867.626  1 2  2.5   1.7199 
 3831.6  1 2  2.5   0.7917000000000001 
 5479.79  2 0  0.5   0.49140000000000006 
5804 1 2  2.5   0.1638 
6363 1 2  2.5   0.24570000000000003 
6904 1 2  1.5   0.5642 
7338 1 2  2.5   0.637 
8234 1 2  2.5   0.3731 
 8796.94  1 2  2.5   0.3276 
 9435.93  1 2  2.5   0.7371000000000001 
