Author: Mo75   
Nucleus: 34S   
Reaction:  (p.d)    
Type: pickup   
E n l JP C2S
0 1 2  1.5   1.87 
 840.982  2 0  0.5   0.8 
 1967.19  1 2  2.5   0.05 
 2313.399  1 2  1.5   0.17 
 2867.626  1 2  2.5   1.27 
 2934.74  1 3  -3.5   0.02 
 3220.692  1 1  -1.5   0.02 
 3831.6  1 2  2.5   0.59 
 3934.73  1 2  1.5   0.02 
 4055.35  2 0  0.5   0.003 
 4375.4  2 0  0.5   0.03 
 4941.8  1 3  -2.5;-3.5   0.05 
5343 1 2  1.5;2.5   0.03 
 5479.79  2 0  0.5   0.46 
 5621.07  2 0  0.5   0.1 
5915 2 0  0.5   0.01 
6362 1 2  2.5   0.21 
6904 1 2  1.5   0.35 
7338 1 2  2.5   0.41 
