Author: Gr69+Gi17   
Nucleus: 34S   
Reaction:  (3He.d)    
Type: stripping   
E n l JP C2S
0 1 2  1.5   0.72 
 1219.29  2 0  0.5   0.13 
 2693.75  1 2  1.5   0.015 
 3002.3  1 2  2.5   0.023333333333333334 
 3162.8  1 3  -3.5   0.36 
 3967.5  2 0  0.5   0.015 
4059 2 1  -1.5   0.095 
4178 2 1  -1.5   0.2125 
 5403.5  2 1  -1.5   0.0175 
5655 1 2  1.5   0.1175 
5683 2 1  -1.5   0.0275 
5758 2 1  -1.5   0.03 
 6866.7  1 2  2.5   0.011 
 7066.2  1 2  2.5   0.002 
 7103.3  2 1  -1.5   0.005 
 7178.8  2 0  0.5   0.016 
 7272.6  2 1  -0.5   0.02 
7362 2 1  -1.5   0.001 
7396 1 3  -3.5   0.01 
