Author:,Me71(fromDy76),,,,
Nucleus:,28Si,,,,
Reaction:,"(d,p)",,,,
Type:,stripping,,,,
BA:,"7,418",,,,
BA1:,"7,279",,,,
E,n,l,JP,C2S,
0,2,0,"0,5","0,525","1,05"
"1273,31",1,2,"1,5","0,7375","2,95"
"2028,72",1,2,"2,5","0,12166666666666666","0,73"
2426,1,2,"1,5","0,0125","0,05"
"3066,9",1,2,"2,5","0,05833333333333333","0,35"
"3624,15",1,3,"-3,5","0,375",3
"4934,6",2,1,"-1,5","0,5625","2,25"
6381,2,1,"-0,5","0,525","1,05"
6191,1,3,"-2,5","0,19999999999999998","1,2"
5949,1,2,"1,5","0,0625","0,25"
6770,1,4,"4,5","0,06","0,6"
